,Name,Born,Age,Batting Style,Bowling Style,Playing Role,Teams_playing,Country,Mat,Span,Runs,HS,Bat Avg,100s,Wkts,Bowl Avg,5w,Catches,Stumping,Avg Diff,Matches_won,Matches_lost,BBI_wickets,BBI_runs,career_span_yrs
2510,Mahamarakkala Kurukulasooriya Patabendige Akila Dananjaya Perera,1993-10-04,30,Left hand Bat,"Right arm Offbreak, Legbreak",Allrounder,10,SriLanka,32,2012-2024,65,11,8.12,0,30,31.53,0,7,0,-23.4,10,19,3,36,12
2517,Dhananjaya Maduranga de Silva,1991-09-06,32,Right hand Bat,Right arm Offbreak,Allrounder,13,SriLanka,42,2015-2024,784,66,21.18,0,14,22.42,0,20,0,-1.23,15,24,2,22,9
2535,Welikonthage Kavisha Dilhari,2001-01-24,23,Right hand Bat,Right arm Offbreak,Batting Allrounder,1,SriLanka,44,2018-2023,219,47,9.95,0,29,25.58,0,16,0,-15.63,18,25,2,7,5
2545,Ranaweera Mudiyanselage Shaminda Eranga,1986-06-23,37,Right hand Bat,Right arm Fast medium,Bowler,5,SriLanka,3,2012-2013,6,6,6.0,0,3,30.0,0,1,0,-24.0,1,1,2,30,1
2547,Aththachchi Nuwan Pradeep Roshan Fernando,1986-10-19,37,Right hand Bat,Right arm Fast medium,Bowler,12,SriLanka,16,2016-2021,10,8,10.0,0,15,29.06,0,2,0,-19.06,3,13,4,25,5
2548,Binura Fernando,1995-07-12,28,Right hand Bat,Left arm Medium fast,Bowler,14,SriLanka,14,2015-2024,30,20,15.0,0,14,27.57,0,2,0,-12.57,6,8,2,12,9
2564,Sirikkattuduwage Inoshi Priyadharshani Fernando,1987-03-23,36,Right hand Bat,Right arm Offbreak,Bowler,5,SriLanka,16,2014-2023,5,2,2.5,0,16,16.43,0,7,0,-13.93,7,9,4,10,9
2578,Downdegedara Asela Sampath Gunaratne,1986-01-08,38,Right hand Bat,Right arm Medium fast,Batter,8,SriLanka,12,2016-2017,225,84,25.0,0,5,40.8,0,5,0,-15.8,5,7,1,11,1
2582,Mashtayage Danushka Gunathilaka,1991-03-17,32,Left hand Bat,Right arm Offbreak,Allrounder,13,SriLanka,46,2016-2022,741,57,16.46,0,6,25.83,0,21,0,-9.36,15,29,2,3,6
2589,Pinnaduwage Wanindu Hasaranga de Silva,1997-07-29,26,Right hand Bat,Legbreak,Allrounder,14,SriLanka,64,2019-2024,635,71,15.11,0,102,15.55,0,27,0,-0.43,27,34,4,9,5
2610,Gampalage Shehan Naveendra De Fonseka Gunawarna Jayasuriya,1991-09-12,32,Left hand Bat,Right arm Offbreak,Batting Allrounder,11,SriLanka,18,2015-2020,241,40,15.06,0,3,71.0,0,4,0,-55.93,5,13,1,11,5
2619,Hewa Kaluhalamullage Suraj Randiv Kaluhalamulla,1985-01-30,39,Right hand Bat,Right arm Offbreak,Bowler,13,SriLanka,7,2010-2011,8,6,4.0,0,7,19.85,0,0,0,-15.85,4,3,3,20,1
2621,Kathira Arachchige Dona Ama Kanchana,1991-04-07,32,Right hand Bat,Right arm Fast medium,Bowling Allrounder,4,SriLanka,45,2013-2023,208,17,6.93,0,13,41.84,0,7,0,-34.91,11,33,3,22,10
2627,Chamika Karunaratne,1996-05-29,27,Right hand Bat,Right arm Medium fast,Bowling Allrounder,14,SriLanka,42,2021-2023,291,31,16.16,0,24,39.7,0,13,0,-23.54,18,22,2,22,2
2646,Waliarawe Gedara Achini Kalhari Kaushalya Kulasuriya,1990-06-07,33,Left hand Bat,Right arm Fast medium,Bowler,6,SriLanka,25,2015-2023,14,6,7.0,0,10,37.8,0,2,0,-30.8,8,17,2,19,8
2647,Chandradasa Brahammana Ralalage Lahiru Sudesh Kumara,1997-02-13,27,Left hand Bat,Right arm Fast,Bowler,9,SriLanka,26,2019-2023,10,4,3.33,0,33,22.87,0,2,0,-19.54,9,16,3,7,4
